Permission	Allowed	Denied
Email - Interactions - Activities - Data Factory Utility - Delete	false	false
Email - Interactions - Activities - Data Factory Utility - View	false	false
Email - Interactions - Activities - Data Factory Utility - Preview	false	false
Email - Interactions - Activities - Data Factory Utility - Start	false	false
Email - Interactions - Activities - Data Factory Utility - Stop	false	false
Email - Interactions - Activities - SegmentRecount	false	false
Email - Interactions - Activities - SegmentRecount - Create	false	false
Email - Interactions - Activities - SegmentRecount - Update	false	false
Email - Interactions - Activities - SegmentRecount - Delete	false	false
Email - Interactions - Activities - SegmentRecount - View	false	false
Email - Interactions - Activities - SegmentRecount - Preview	false	false
Email - Interactions - Activities - SegmentRecount - Start	false	false
Email - Interactions - Activities - SegmentRecount - Stop	false	false
Email - Interactions - Activities - BuildAudience	false	false
Email - Interactions - Activities - BuildAudience - Create	false	false
Email - Interactions - Activities - BuildAudience - Update	false	false
Email - Interactions - Activities - BuildAudience - Delete	false	false
Email - Interactions - Activities - BuildAudience - View	false	false
Email - Interactions - Activities - BuildAudience - Preview	false	false
Email - Interactions - Activities - BuildAudience - Start	false	false
Email - Interactions - Activities - BuildAudience - Stop	false	false
Email - Interactions - Activities - Data Verification	false	false
Email - Interactions - Activities - Data Verification - Create	true	false
Email - Interactions - Activities - Data Verification - Update	true	false
Email - Interactions - Activities - Data Verification - Delete	true	false
Email - Interactions - Activities - Data Verification - View	true	false
Email - Interactions - Activities - Predictive Intelligence	false	false
Email - Interactions - Activities - Predictive Intelligence - View	false	false
Email - Interactions - Activities - Predictive Intelligence - Create	false	false
Email - Interactions - Activities - Predictive Intelligence - Update	false	false
Email - Interactions - Activities - Predictive Intelligence - Delete	false	false
Email - Interactions - Activities - Predictive Intelligence - Start	false	false
Email - Interactions - Messages	false	false
Email - Interactions - Messages - Email	false	false
Email - Interactions - Messages - Email - User-Initiated	false	false
Email - Interactions - Messages - Email - User-Initiated - Create	false	false
Email - Interactions - Messages - Email - User-Initiated - View	false	false
Email - Interactions - Messages - Email - User-Initiated - Update	false	false
Email - Interactions - Messages - Email - User-Initiated - Delete	false	false
Email - Interactions - Messages - Email - User-Initiated - Send	false	false
Email - Interactions - Messages - Email - User-Initiated - Test Send	false	false
Email - Interactions - Messages - Email - Triggered	false	false
Email - Interactions - Messages - Email - Triggered - Create	false	false
Email - Interactions - Messages - Email - Triggered - View	false	false
Email - Interactions - Messages - Email - Triggered - Update	false	false
Email - Interactions - Messages - Email - Triggered - Delete	false	false
Email - Interactions - Messages - Email - Triggered - Archive	false	false
Email - Interactions - Messages - Email - Triggered - View Tracking	false	false
Email - Interactions - Messages - Email - Triggered - Start/Restart	false	false
Email - Interactions - Messages - Email - Triggered - Pause	false	false
Email - Interactions - Messages - Email - Triggered - Publish Changes	false	false
Email - Interactions - Messages - Email - Triggered - Move	false	false
Email - Interactions - Messages - Email - Triggered - Clear Queue	false	false
Email - Interactions - Messages - Email - SalesforceSends	false	false
Email - Interactions - Messages - Email - SalesforceSends - Create	false	false
Email - Interactions - Messages - Email - SalesforceSends - View	false	false
Email - Interactions - Messages - Email - SalesforceSends - Update	false	false
Email - Interactions - Messages - Email - SalesforceSends - Delete	false	false
Email - Interactions - Messages - Email - SalesforceSends - Send	false	false
Email - Interactions - Messages - Email - SalesforceSends - Test Send	false	false
Email - Interactions - Messages - SMS	false	false
Email - Interactions - Messages - SMS - Triggered	false	false
Email - Interactions - Messages - SMS - Triggered - Create	false	false
Email - Interactions - Messages - SMS - Triggered - View	false	false
Email - Interactions - Messages - SMS - Triggered - Update	false	false
Email - Interactions - Messages - SMS - Triggered - Delete	false	false
Email - Interactions - Messages - SMS - Triggered - View Tracking	false	false
Email - Interactions - Messages - SMS - Triggered - Send	false	false
Email - Interactions - Messages - SMS - MO Keyword	false	false
Email - Interactions - Messages - SMS - MO Keyword - Create	false	false
Email - Interactions - Messages - SMS - MO Keyword - View	false	false
Email - Interactions - Messages - SMS - MO Keyword - Update	false	false
Email - Interactions - Messages - SMS - MO Keyword - Delete	false	false
Email - Interactions - Messages - SMS - MO Keyword - Manage Keyword	false	false
Email - Interactions - Messages - SMS - Shared Keyword	false	false
Email - Interactions - Messages - SMS - Shared Keyword - Create	false	false
Email - Interactions - Messages - SMS - Shared Keyword - View	false	false
Email - Interactions - Messages - SMS - Shared Keyword - Update	false	false
Email - Interactions - Messages - SMS - Shared Keyword - Delete	false	false
Email - Interactions - Messages - Voice	false	false
Email - Interactions - Messages - Voice - Triggered	false	false
Email - Interactions - Messages - Voice - Triggered - Create	false	false
Email - Interactions - Messages - Voice - Triggered - View	false	false
Email - Interactions - Messages - Voice - Triggered - Update	false	false
Email - Interactions - Messages - Voice - Triggered - Delete	false	false
Email - Interactions - Messages - Voice - Triggered - View Tracking	false	false
Email - Interactions - Messages - Voice - Triggered - Send	false	false
Email - Interactions - Messages - Microsites	false	false
Email - Interactions - Messages - Microsites - Create	false	false
Email - Interactions - Messages - Microsites - View	false	false
Email - Interactions - Messages - Microsites - Update	false	false
Email - Interactions - Messages - Microsites - Delete	false	false
Email - Interactions - Messages - Microsites - Archive	false	false
Email - Interactions - Messages - Microsites - Start/Restart	false	false
Email - Interactions - Messages - Microsites - Pause	false	false
Email - Interactions - Messages - Microsites - Publish Pages	false	false
Email - Interactions - Messages - Microsites - View Tracking	false	false
Email - Interactions - Programs	false	false
Email - Interactions - Programs - Create	false	false
Email - Interactions - Programs - View	false	false
Email - Interactions - Programs - Update	false	false
Email - Interactions - Programs - Delete	false	false
Email - Interactions - Programs - Start	false	false
Email - Interactions - Programs - Stop	false	false
Email - Interactions - Programs - Schedule	false	false
Email - Interactions - Programs - View Activity	false	false
Email - Tracking	false	false
Email - Tracking - View	false	false
Email - Tracking - Update	false	false
Email - Tracking - Delete	false	false
Email - Tracking - Compare Email Sends	false	false
Email - Tracking - Enhanced Tracking	false	false
Email - Tracking - View Subscriber Details	false	false
Email - Tracking - Export Subscribers	false	false
Email - Reports	false	false
Email - Reports - View Administrative Reports	true	false
Email - Reports - Run Report	true	false
Email - Admin	false	false
Email - Admin - API Access	false	false
Email - Admin - API Access - WebService API	false	false
Email - Admin - API Access - XML API	false	false
Email - Admin - 3Sixty	false	false
Email - Admin - 3Sixty - Access	false	false
Email - Admin - Send Management	false	false
Email - Admin - Send Management - Sender Profile	false	false
Email - Admin - Send Management - Sender Profile - Create	false	false
Email - Admin - Send Management - Sender Profile - View	false	false
Email - Admin - Send Management - Sender Profile - Update	false	false
Email - Admin - Send Management - Sender Profile - Delete	false	false
Email - Admin - Send Management - Delivery Profile	false	false
Email - Admin - Send Management - Delivery Profile - Create	false	false
Email - Admin - Send Management - Delivery Profile - View	false	false
Email - Admin - Send Management - Delivery Profile - Update	false	false
Email - Admin - Send Management - Delivery Profile - Delete	false	false
Email - Admin - Send Management - Send Classification	false	false
Email - Admin - Send Management - Send Classification - Create	false	false
Email - Admin - Send Management - Send Classification - View	false	false
Email - Admin - Send Management - Send Classification - Update	false	false
Email - Admin - Send Management - Send Classification - Delete	false	false
Email - Admin - Send Management - SMS Sender Profile	false	false
Email - Admin - Send Management - SMS Sender Profile - Create	false	false
Email - Admin - Send Management - SMS Sender Profile - View	false	false
Email - Admin - Send Management - SMS Sender Profile - Update	false	false
Email - Admin - Send Management - SMS Sender Profile - Delete	false	false
Email - Admin - Send Management - SMS Delivery Profile	false	false
Email - Admin - Send Management - SMS Delivery Profile - Create	false	false
